Year,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Añasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamon,Cabo Rojo,Caguas,Camuy,Canovanas,Carolina,Cataño,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guanica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Diaz,Juncos,Lajas,Lares,Las Marias,Las Piedras,Loiza,Luquillo,Manati,Maricao,Maunabo,Mayaguez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Peñuelas,Ponce,Quebradillas,Rincon,Rio Grande,Sabana Grande,Salinas,San German,San Juan,San Lorenzo,San Sebastian,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco
2017,3890,9285,14185,6130,6975,7290,25420,4315,6125,5980,48005,11470,32920,8860,10295,35565,5210,12995,3105,5285,8980,8020,4120,7825,370,7365,8120,4170,4535,7525,7195,19300,8070,8555,4830,19835,10230,3625,8925,8970,6195,7595,1175,8880,3800,4325,10955,1250,3490,20935,8470,6720,5680,6935,5485,5125,5005,36845,6700,4020,5975,6370,6400,8310,84545,9350,11210,4420,11940,18120,11690,7385,11225,10815,1815,5290,9955,9475
2016,3950,9550,14765,6190,7175,7380,26470,4540,6425,6080,49490,11660,33930,9130,10495,36470,5395,13300,3225,5510,9170,8310,4250,8050,385,7620,8490,4300,4715,7850,7380,19445,8295,8795,4860,20580,10650,3750,9085,9220,6290,7750,1170,9120,3860,4455,11475,1250,3625,21220,8660,6970,5935,7110,5640,5310,5130,37490,7015,4135,6250,6445,6700,8450,86760,9630,11510,4590,12125,18685,11930,7620,11810,11235,1855,5405,10470,9650
2015,3900,9465,14725,6245,7240,7360,26795,4530,6450,6155,49585,11610,33985,9130,10595,36575,5390,13350,3215,5560,9065,8300,4235,8065,380,7680,8565,4300,4785,7895,7400,19140,8185,8855,4850,20560,10685,3760,8915,9200,6295,7730,1165,9160,3795,4500,11540,1265,3705,21300,8680,7065,6015,7145,5675,5335,5075,37590,7035,4090,6340,6450,6670,8475,87115,9685,11575,4590,12040,18845,11895,7650,11950,11345,1885,5345,10625,9605
2014,3915,9390,14750,6305,7320,6980,27135,4575,6465,6220,48790,11555,34010,8635,10985,39000,6340,13430,3230,5550,9155,8320,4260,8060,385,7675,8750,4370,4785,9805,4955,19375,8490,8915,4855,15870,10795,3745,8840,9060,6300,7780,2065,9175,3960,4455,11675,1250,3815,21370,8670,8460,6115,7140,5270,5410,5050,37615,7155,4020,10600,6495,7265,8420,84300,9615,11640,4605,11820,19095,12320,7725,7430,15170,1870,5360,10720,9615
2013,3870,9205,14865,6375,7350,7315,27500,4590,6590,6230,50080,11540,34150,9345,10505,36720,5475,13585,3275,5615,9150,8345,4240,8045,385,7680,8870,4315,4740,7950,7390,19000,8180,8985,4860,20740,10740,3715,8815,9300,6265,7730,1105,9295,3795,4445,11755,1215,3875,21400,8575,7115,6200,7160,5750,5470,5015,37520,7220,4015,6375,6515,6750,8355,87495,9655,11620,4615,11830,19005,11735,7695,12270,11420,1875,5350,10820,9600
2012,3765,9055,14635,6310,7260,7225,27460,4535,6545,6160,49790,11370,33825,9255,10290,36425,5435,13620,3235,5520,9045,8130,4160,7920,365,7490,8765,4240,4700,7795,7265,18750,8080,8900,4770,20420,10700,3620,8680,9160,6275,7600,1090,9050,3710,4415,11650,1200,3865,21235,8375,7060,6120,7085,5655,5430,4930,36885,7185,3990,6340,6410,6625,8225,87035,9505,11475,4695,11680,18710,11540,7615,12290,11290,1860,5170,10805,9365
2011,3625,8785,14300,6180,7205,7115,27005,4395,6465,6020,49085,11090,33175,9055,9980,35765,5390,13250,3210,5405,8735,7925,4035,7820,360,7290,8750,4120,4555,7590,7090,18360,7855,8725,4670,19770,10435,3545,8360,8845,6150,7465,1045,8560,3665,4270,11570,1175,3790,21075,8125,6860,5920,6845,5615,5310,4765,36085,7000,3885,6300,6290,6465,8100,86355,9225,11245,4620,11375,18450,11240,7400,12240,11090,1865,5030,10390,9230
2010,3505,8500,13930,5885,7045,6970,26165,4205,6200,5910,48230,10960,32490,8785,9735,31455,6370,12955,3160,5210,8270,7690,3855,7660,340,7000,8635,3935,4395,8415,6845,15950,7600,8410,4610,19130,10095,3400,8050,8590,6005,7295,1000,8180,3580,4165,11105,1115,3580,20795,7825,6505,5775,6605,5480,5125,4620,35435,6890,3770,6015,6140,5155,7880,90150,8915,10935,4460,10885,17930,10945,7175,12015,10695,1875,4840,9905,8965
2009,3365,8265,13435,5655,6785,6935,25120,4020,5880,5785,49335,10700,33315,8480,9360,32130,5730,12515,3125,4910,7770,7445,3740,7350,345,6695,8520,3790,4305,7955,6620,11715,7345,8140,4485,18535,9755,3290,7700,8200,5895,7050,710,7925,3470,4020,10665,1115,3415,20365,7525,6135,5620,6435,5300,4875,4485,32650,6745,3670,5955,6055,4935,7740,89915,8555,10545,4315,10345,17315,10640,6940,11700,10170,1850,4635,9520,8630
2008,3205,7925,12910,5475,6545,6410,24080,3875,5580,5620,46040,10405,30500,8200,9000,30525,9840,12225,3015,4725,7290,7230,3605,7110,320,6320,8345,3630,4185,6965,6005,15335,6990,7860,4815,17620,9210,3110,7420,7940,5680,6775,805,7525,3405,3905,10395,1085,3220,20005,7130,5905,5340,6260,5170,4695,4305,33350,6500,3545,4980,5560,5505,7750,86580,8235,10225,4085,9730,12535,10180,6715,7380,13220,2545,4410,9075,8350
2007,3125,7700,12640,5305,6510,6260,23470,3780,5415,5440,45240,10135,29750,8010,8780,29675,9740,11965,2890,4650,6965,6980,3515,7015,315,6080,8215,3460,4075,6760,6170,14935,6715,7660,4595,17330,8960,3015,7200,7675,5515,6615,775,7260,3335,3815,10185,1065,3135,19580,6910,5710,5140,6150,5155,4565,4140,32760,6280,3430,4955,5440,5165,7570,86940,8035,9965,3970,9310,12125,9985,6585,7170,12890,2290,4260,8805,8220
2006,3070,7630,12330,5250,6445,6070,23085,3700,5260,5360,44825,9980,29320,7965,8545,29190,9795,11915,2885,4575,6795,6820,3485,6870,295,5890,8090,3370,3995,6905,6140,14645,6560,7505,4490,16725,8760,2900,7020,7520,5385,6540,755,7105,3265,3810,9980,1045,3070,19355,6700,5565,5065,6095,5110,4490,4085,32360,6135,3390,5365,5305,4805,7525,87210,7910,9750,3940,9045,11870,9775,6505,7020,12765,2165,4110,8745,8090
2005,3040,7530,12265,5240,6350,5915,22780,3650,5180,5335,44560,9745,28945,7795,8370,28545,9725,11785,2825,4575,6660,6715,3465,6825,305,5745,7980,3320,3950,7050,6025,14450,6435,7375,4455,16385,8615,2840,6885,7435,5300,6445,690,6930,3225,3705,9885,1000,3035,19405,6585,5450,5000,6000,5110,4440,4020,32260,5990,3390,5415,5190,4465,7450,87390,7840,9650,3860,8775,11570,9575,6520,6930,12520,2030,4060,8635,8025
2004,3010,8200,12155,5230,6265,5815,22705,3575,5425,5325,44405,9485,28660,7610,5930,28325,9630,11730,2735,4545,6505,6630,3445,6770,315,5590,7875,2920,3830,6510,5835,14225,6380,7245,4220,16750,8515,2770,6810,7335,5205,6390,650,7180,5075,3265,9725,1000,2975,19330,6355,5365,4955,6005,5095,4390,3990,32300,5800,3320,5540,5065,5060,7275,88180,7660,9440,3775,8520,11390,9350,5595,10290,9140,1935,4075,8550,7985
2003,3010,8160,11910,5220,6240,5725,22510,3550,5370,5355,44050,9310,28575,7530,5895,27870,9570,11635,2730,4560,6340,6515,3475,6685,310,5490,7745,2870,3830,6355,5840,14120,6260,7175,3995,16385,8340,2720,6740,7320,5170,6335,630,7135,5025,3310,9520,990,2970,19060,6285,5345,4990,5990,5120,4300,3950,32145,5715,3225,5665,4965,5010,7240,88780,7555,9355,3755,8335,11165,9175,5585,10245,9035,1925,4025,8435,7870
2002,2965,7965,11760,5095,6065,5555,22210,3430,5270,5285,43500,9165,28220,7340,5680,27210,9430,11395,2670,4515,6265,6490,3445,6555,315,5340,7725,2810,3740,6220,5805,13820,6085,7010,3915,15915,8250,2705,6685,7220,5045,6205,595,6940,4900,3340,9360,975,2915,18835,6215,5215,4900,5925,5075,4240,3910,31865,5620,3150,5695,4795,4900,7135,88845,7415,9100,3645,8125,10990,8910,5555,10085,8885,1930,3945,8210,7870
2001,2955,7790,11685,5050,6050,5390,22070,3370,5205,5185,42995,8975,27810,7445,5440,26580,9245,11325,2685,4420,6055,6405,3435,6490,320,5270,7685,2750,3645,6150,5685,13300,5945,6815,3850,16345,8095,2685,6505,7085,4895,6095,325,6650,4780,3315,9185,975,2860,18655,6120,5105,4780,5800,5050,4160,3805,31635,5475,3040,4975,4730,4865,6925,89140,7230,8955,3495,7795,10860,8690,5460,11280,7205,1895,3880,8045,7775
2000,2961,6768,11517,5004,5927,5348,21709,3343,4714,5127,42150,8843,27255,7277,7437,25800,8958,11235,2608,4347,5871,6222,3390,6333,313,5125,7622,3078,3597,6591,5735,12976,5745,6697,3760,15253,7987,2629,6422,6933,4796,6025,176,6170,3039,3511,8973,995,2814,18448,6008,4930,4663,5763,4994,4008,3834,31148,5353,2996,4966,4672,4133,6783,88541,7122,8836,3469,7513,10775,8557,6234,11717,6380,1808,3886,7861,7643
1999,2913,9829,11328,4871,5824,4669,21549,3320,7481,5005,41546,8616,26944,6426,154,25954,10779,11213,2549,4240,5707,6123,3315,6146,326,4956,6882,178,3549,7123,3809,12937,5494,6486,3656,13287,7910,2525,6293,6725,4731,5928,1400,7592,8376,1844,8704,975,2708,18274,5945,4723,4592,5649,4846,3964,3736,30742,5345,2898,8064,4496,5433,6503,88361,6892,8629,3410,7305,7401,7412,2950,6043,11380,2355,3821,7550,7516
